tier,ticker,composite_score,best_bucket,best_bucket_count,best_bucket_avg_pnl_pct,n_quotes,best_bucket_avg_spread_pct,latest_price
C,UPST,0.4054123711340206,0.0-0.5%,165,0.23,6108,1.05,30.68
C,JMIA,0.4012886597938144,2.5-3.0%,46,0.49,1521,1.84,9.32
C,SONY,0.39664948453608245,1.5-2.0%,24,0.55,313,0.41,23.19
C,MMM,0.39587628865979385,4.0-4.5%,110,0.02,2521,0.14,171.82
C,DOCN,0.3943298969072165,4.0-4.5%,13,0.69,554,1.06,68.16
C,BSX,0.38891752577319594,2.0-2.5%,177,0.12,2465,0.3,74.73
C,PCG,0.38324742268041234,3.0-3.5%,83,0.23,1420,0.27,18.16
C,CPNG,0.3801546391752577,3.0-3.5%,84,0.16,2317,0.37,16.98
C,FTAI,0.3765463917525773,2.5-3.0%,45,0.34,1341,0.65,279.85
C,SKYT,0.37628865979381443,4.5-5.0%,15,0.88,414,1.81,29.23
C,CNC,0.37577319587628866,4.0-4.5%,198,0.15,3841,0.65,40.58
C,QXO,0.3729381443298969,4.0-4.5%,14,0.71,275,0.78,27.07
C,TEVA,0.36881443298969074,0.0-0.5%,60,0.25,1555,0.47,33.98
C,AR,0.3631443298969072,1.0-1.5%,112,0.07,2910,0.36,34.76
C,GTLB,0.35798969072164943,3.5-4.0%,102,0.25,2522,1.16,29.55
C,GEHC,0.3481958762886598,2.5-3.0%,131,0.07,1997,0.27,80.34
C,AEM,0.3463917525773196,1.0-1.5%,39,0.22,873,0.19,216.59
C,HIMS,0.345360824742268,2.5-3.0%,58,0.26,1930,1.07,16.3
C,XYZ,0.3407216494845361,4.0-4.5%,30,0.1,1340,0.18,49.8
C,AES,0.3322164948453608,4.5-5.0%,12,0.61,189,0.93,16.28
C,RBRK,0.3288659793814433,4.0-4.5%,21,0.48,403,0.66,54.55
C,SSO,0.32835051546391747,1.0-1.5%,15,0.54,161,0.76,57.37
C,BILL,0.327319587628866,2.0-2.5%,156,0.08,4955,1.03,46.99
C,DXCM,0.31855670103092787,1.0-1.5%,92,0.01,2384,0.39,70.02
C,UEC,0.318298969072165,2.5-3.0%,18,0.45,441,0.65,15.52
C,IAU,0.3170103092783505,2.5-3.0%,46,0.15,798,0.18,94.75
C,KGC,0.3082474226804124,4.5-5.0%,32,0.04,946,0.14,34.4
C,XLK,0.2945876288659794,1.5-2.0%,10,0.39,172,0.4,139.56
C,CRH,0.2721649484536083,4.0-4.5%,52,0.19,1121,0.67,125.97
C,CTAS,0.26597938144329897,4.5-5.0%,24,0.25,525,0.52,193.44
C,VKTX,0.23298969072164946,4.0-4.5%,60,0.15,1852,2.63,29.0
C,FBTC,0.23195876288659795,4.0-4.5%,47,0.2,895,1.08,59.89
C,GRAB,0.21649484536082472,0.5-1.0%,16,0.44,155,1.95,4.13
C,TSCO,0.20515463917525772,4.0-4.5%,29,0.19,491,0.64,55.03
C,TXRH,0.20051546391752575,0.0-0.5%,36,0.03,813,0.51,180.9
C,FIG,0.17525773195876287,3.5-4.0%,20,0.19,570,1.44,22.53
C,UNG,0.1731958762886598,3.0-3.5%,30,0.1,893,1.44,12.44
C,XLE,0.1677835051546392,0.0-0.5%,12,0.23,253,0.91,54.35
C,CNQ,0.1592783505154639,2.5-3.0%,32,0.01,407,0.36,40.68
C,EH,0.09097938144329898,3.5-4.0%,24,0.07,455,1.4,11.58
